date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:12	250/250	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20May%202022%2016:55:11%20GMT	https://www.kpssplatin.xyz/robots.txt		(from )
19:55:12	294214/294214	---MCZ	200	added ('OK')	text/html	etag:W/%226fefb96d84536bcdba183bfeb5dbda69%22	https://www.kpssplatin.xyz/	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/index.html	(from )
19:55:12	1710/1710	---M--	200	added ('OK')	image/jpeg	etag:%227f6f7464e1e2a57259c3a2f9518d43fb%22	https://static.wixstatic.com/media/c781f7_4a8f55a3e0a048838328bba101335947~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/c781f7_4a8f55a3e0a048838328bba101335947~mv2.jpg	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.wixstatic.com/media/c781f7_4a8f55a3e0a048838328bba101335947_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/c781f7_4a8f55a3e0a048838328bba101335947_mv2.jpg	(from https://www.kpssplatin.xyz/)
19:55:12	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.kpssplatin.xyz/)
19:55:13	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.kpssplatin.xyz/)
19:55:13	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2002:59:48%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/polyfill.io/v3/polyfill.mind82c.js	(from https://www.kpssplatin.xyz/)
19:55:13	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.kpssplatin.xyz/)
19:55:14	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:13%20GMT	https://www.kpssplatin.xyz/decodeURIComponent(e	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/decodeURIComponent(e.5.delayed	(from https://www.kpssplatin.xyz/)
19:55:15	276/276	---M--	200	added ('OK')	text/xml	date:Mon,%2023%20May%202022%2016:55:14%20GMT	https://www.kpssplatin.xyz/sitemap.xml	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/sitemap.xml	(from https://www.kpssplatin.xyz/)
19:55:15	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20May%202022%2016:55:15%20GMT	https://www.kpssplatin.xyz/feed.xml	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/www.kpssplatin.xyz/feed.7.delayed	(from https://www.kpssplatin.xyz/)
19:55:16	167174/167174	---M-Z	200	added ('OK')	application/javascript	etag:W/%22eeca1213d98a222091b218852e2f9e63%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.bec8a0f6.bundle.min.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.bec8a0f6.bundle.min.js	(from https://www.kpssplatin.xyz/)
19:55:16	179805/179805	---M-Z	200	added ('OK')	application/javascript	etag:W/%223e753a8178439e1c0ebc47c2e688c3f4%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.590f0ed9.bundle.min.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.parastorage.com/services/wix-thunderbolt/dist/main.590f0ed9.bundle.min.js	(from https://www.kpssplatin.xyz/)
19:55:16	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/Memres/Desktop/kpssplatin.xyz/kpssplatin/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.kpssplatin.xyz/)
